id,parentId,name,massKg,meanRadiusM,albedo,gm,equatorialRadiusM,densityKgM3,siderealRotationPeriodS,orbitRotationPeriodS,equatorialGravity,escapeVelocityM
526,5,Isonoe,74933421654859.66,1900.0,0.04,5000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
527,5,Praxidike,434613845598186.0,3400.0,0.04,29000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
528,5,Autonoe,89920105985831.59,2000.0,0.04,6000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
529,5,Thyone,89920105985831.59,2000.0,0.04,6000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
530,5,Hermippe,89920105985831.59,2000.0,0.04,6000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
531,5,Aitne,44960052992915.8,1500.0,0.04,3000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
532,5,Eurydome,44960052992915.8,1500.0,0.04,3000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
533,5,Euanthe,44960052992915.8,1500.0,0.04,3000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
534,5,Euporie,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
535,5,Orthosie,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
536,5,Sponde,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
537,5,Kale,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
538,5,Pasithee,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
539,5,Hegemone,44960052992915.8,1500.0,0.04,3000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
540,5,Mneme,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
541,5,Aoede,89920105985831.59,2000.0,0.04,6000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
542,5,Thelxinoe,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
543,5,Arche,44960052992915.8,1500.0,0.04,3000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
544,5,Kallichore,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
545,5,Helike,89920105985831.59,2000.0,0.04,6000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
546,5,Carpo,44960052992915.8,1500.0,0.04,3000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
547,5,Eukelade,89920105985831.59,2000.0,0.04,6000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
548,5,Cyllene,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
549,5,Kore,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
550,5,Herse,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
551,5,S/2000 J11,14986684330971.93,1000.0,0.04,1000.0,0.0,2600.0,0.0,0.0,0.0,0.0,
